img_path,query,answer,new query,new answer,type
abs_counting_000001.png,How many flowers are outside the purple polygons? Select the correct answer:A:16  B:17  C:12  D:13,C,How many flowers would be outside the purple polygons if all polygons were purple? Select the correct answer:A:7  B:11  C:3  D:9,A,abs_counting_1
abs_counting_000002.png,How many flowers are outside the yellow polygons? Select the correct answer:A:10  B:4  C:1  D:6,D,How many flowers would be outside the yellow polygons if all polygons were yellow? Select the correct answer:A:3  B:6  C:4  D:1,A,abs_counting_1
abs_counting_000003.png,How many flowers are outside the purple polygons? Select the correct answer:A:12  B:11  C:15  D:10,A,How many flowers would be outside the purple polygons if all polygons were purple? Select the correct answer:A:2  B:8  C:10  D:6,D,abs_counting_1
abs_counting_000004.png,How many flowers are outside the purple polygons? Select the correct answer:A:10  B:16  C:14  D:13,C,How many flowers would be outside the purple polygons if all polygons were purple? Select the correct answer:A:13  B:7  C:3  D:10,B,abs_counting_1
abs_counting_000005.png,How many flowers are outside the yellow polygons? Select the correct answer:A:16  B:12  C:11  D:17,B,How many flowers would be outside the yellow polygons if all polygons were yellow? Select the correct answer:A:3  B:12  C:8  D:7,C,abs_counting_1
abs_counting_000006.png,How many flowers are outside the red polygons? Select the correct answer:A:20  B:16  C:9  D:14,D,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:3  B:7  C:6  D:5,A,abs_counting_1
abs_counting_000007.png,How many flowers are outside the pink polygons? Select the correct answer:A:9  B:11  C:13  D:14,A,How many flowers would be outside the pink polygons if all polygons were pink? Select the correct answer:A:4  B:3  C:0  D:1,D,abs_counting_1
abs_counting_000008.png,How many flowers are outside the pink polygons? Select the correct answer:A:19  B:18  C:15  D:24,B,How many flowers would be outside the pink polygons if all polygons were pink? Select the correct answer:A:8  B:4  C:7  D:11,A,abs_counting_1
abs_counting_000009.png,How many flowers are outside the black polygons? Select the correct answer:A:16  B:15  C:14  D:13,D,How many flowers would be outside the black polygons if all polygons were black? Select the correct answer:A:11  B:7  C:10  D:5,C,abs_counting_1
abs_counting_000010.png,How many flowers are outside the red polygons? Select the correct answer:A:6  B:1  C:8  D:5,D,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:4  B:8  C:3  D:7,A,abs_counting_1
abs_counting_000011.png,How many flowers are outside the blue polygons? Select the correct answer:A:22  B:20  C:17  D:21,C,How many flowers would be outside the blue polygons if all polygons were blue? Select the correct answer:A:7  B:13  C:12  D:3,A,abs_counting_1
abs_counting_000012.png,How many flowers are outside the blue polygons? Select the correct answer:A:6  B:8  C:14  D:4,B,How many flowers would be outside the blue polygons if all polygons were blue? Select the correct answer:A:8  B:2  C:6  D:1,C,abs_counting_1
abs_counting_000013.png,How many flowers are outside the green polygons? Select the correct answer:A:6  B:7  C:2  D:1,C,How many flowers would be outside the green polygons if all polygons were green? Select the correct answer:A:5  B:4  C:1  D:6,C,abs_counting_1
abs_counting_000014.png,How many flowers are outside the purple polygons? Select the correct answer:A:18  B:12  C:8  D:13,D,How many flowers would be outside the purple polygons if all polygons were purple? Select the correct answer:A:16  B:13  C:12  D:11,C,abs_counting_1
abs_counting_000015.png,How many flowers are outside the green polygons? Select the correct answer:A:10  B:9  C:4  D:8,B,How many flowers would be outside the green polygons if all polygons were green? Select the correct answer:A:14  B:12  C:8  D:3,C,abs_counting_1
abs_counting_000016.png,How many flowers are outside the blue polygons? Select the correct answer:A:8  B:13  C:19  D:12,B,How many flowers would be outside the blue polygons if all polygons were blue? Select the correct answer:A:6  B:2  C:7  D:3,A,abs_counting_1
abs_counting_000017.png,How many flowers are outside the red polygons? Select the correct answer:A:14  B:10  C:5  D:8,B,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:4  B:8  C:12  D:7,D,abs_counting_1
abs_counting_000018.png,How many flowers are outside the green polygons? Select the correct answer:A:13  B:17  C:12  D:21,B,How many flowers would be outside the green polygons if all polygons were green? Select the correct answer:A:6  B:2  C:7  D:1,A,abs_counting_1
abs_counting_000019.png,How many flowers are outside the yellow polygons? Select the correct answer:A:9  B:3  C:7  D:12,C,How many flowers would be outside the yellow polygons if all polygons were yellow? Select the correct answer:A:4  B:3  C:0  D:1,D,abs_counting_1
abs_counting_000020.png,How many flowers are outside the black polygons? Select the correct answer:A:17  B:23  C:12  D:18,A,How many flowers would be outside the black polygons if all polygons were black? Select the correct answer:A:15  B:10  C:8  D:12,B,abs_counting_1
abs_counting_000021.png,How many flowers are outside the pink polygons? Select the correct answer:A:2  B:11  C:7  D:13,C,How many flowers would be outside the pink polygons if all polygons were pink? Select the correct answer:A:4  B:0  C:7  D:8,A,abs_counting_1
abs_counting_000022.png,How many flowers are outside the black polygons? Select the correct answer:A:8  B:6  C:10  D:7,C,How many flowers would be outside the black polygons if all polygons were black? Select the correct answer:A:8  B:11  C:7  D:9,C,abs_counting_1
abs_counting_000023.png,How many flowers are outside the blue polygons? Select the correct answer:A:14  B:23  C:19  D:24,C,How many flowers would be outside the blue polygons if all polygons were blue? Select the correct answer:A:10  B:6  C:16  D:15,A,abs_counting_1
abs_counting_000024.png,How many flowers are outside the yellow polygons? Select the correct answer:A:8  B:17  C:11  D:13,D,How many flowers would be outside the yellow polygons if all polygons were yellow? Select the correct answer:A:7  B:6  C:3  D:10,A,abs_counting_1
abs_counting_000025.png,How many flowers are outside the pink polygons? Select the correct answer:A:14  B:13  C:19  D:9,B,How many flowers would be outside the pink polygons if all polygons were pink? Select the correct answer:A:8  B:3  C:5  D:7,B,abs_counting_1
abs_counting_000026.png,How many flowers are outside the blue polygons? Select the correct answer:A:9  B:12  C:11  D:7,A,How many flowers would be outside the blue polygons if all polygons were blue? Select the correct answer:A:2  B:4  C:1  D:9,B,abs_counting_1
abs_counting_000027.png,How many flowers are outside the pink polygons? Select the correct answer:A:14  B:9  C:15  D:8,B,How many flowers would be outside the pink polygons if all polygons were pink? Select the correct answer:A:4  B:5  C:6  D:3,A,abs_counting_1
abs_counting_000028.png,How many flowers are outside the orange polygons? Select the correct answer:A:13  B:24  C:17  D:18,D,How many flowers would be outside the orange polygons if all polygons were orange? Select the correct answer:A:10  B:7  C:9  D:12,A,abs_counting_1
abs_counting_000029.png,How many flowers are outside the orange polygons? Select the correct answer:A:19  B:11  C:16  D:17,C,How many flowers would be outside the orange polygons if all polygons were orange? Select the correct answer:A:8  B:7  C:2  D:4,D,abs_counting_1
abs_counting_000030.png,How many flowers are outside the blue polygons? Select the correct answer:A:16  B:12  C:9  D:14,D,How many flowers would be outside the blue polygons if all polygons were blue? Select the correct answer:A:10  B:12  C:14  D:13,A,abs_counting_1
abs_counting_000031.png,How many flowers are outside the pink polygons? Select the correct answer:A:4  B:9  C:6  D:5,A,How many flowers would be outside the pink polygons if all polygons were pink? Select the correct answer:A:3  B:9  C:6  D:8,A,abs_counting_1
abs_counting_000032.png,How many flowers are outside the red polygons? Select the correct answer:A:17  B:20  C:18  D:22,A,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:11  B:14  C:16  D:8,A,abs_counting_1
abs_counting_000033.png,How many flowers are outside the orange polygons? Select the correct answer:A:18  B:22  C:14  D:16,D,How many flowers would be outside the orange polygons if all polygons were orange? Select the correct answer:A:4  B:10  C:5  D:9,A,abs_counting_1
abs_counting_000034.png,How many flowers are outside the red polygons? Select the correct answer:A:14  B:16  C:17  D:13,A,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:9  B:5  C:4  D:6,A,abs_counting_1
abs_counting_000035.png,How many flowers are outside the black polygons? Select the correct answer:A:20  B:18  C:14  D:12,C,How many flowers would be outside the black polygons if all polygons were black? Select the correct answer:A:3  B:12  C:6  D:1,C,abs_counting_1
abs_counting_000036.png,How many flowers are outside the orange polygons? Select the correct answer:A:25  B:24  C:19  D:22,B,How many flowers would be outside the orange polygons if all polygons were orange? Select the correct answer:A:15  B:13  C:12  D:10,C,abs_counting_1
abs_counting_000037.png,How many flowers are outside the orange polygons? Select the correct answer:A:16  B:23  C:19  D:17,C,How many flowers would be outside the orange polygons if all polygons were orange? Select the correct answer:A:12  B:10  C:5  D:16,B,abs_counting_1
abs_counting_000038.png,How many flowers are outside the purple polygons? Select the correct answer:A:26  B:17  C:24  D:21,D,How many flowers would be outside the purple polygons if all polygons were purple? Select the correct answer:A:11  B:6  C:7  D:16,A,abs_counting_1
abs_counting_000039.png,How many flowers are outside the green polygons? Select the correct answer:A:7  B:3  C:6  D:11,C,How many flowers would be outside the green polygons if all polygons were green? Select the correct answer:A:6  B:4  C:5  D:2,D,abs_counting_1
abs_counting_000040.png,How many flowers are outside the red polygons? Select the correct answer:A:24  B:20  C:23  D:22,D,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:10  B:17  C:11  D:12,C,abs_counting_1
abs_counting_000041.png,How many flowers are outside the red polygons? Select the correct answer:A:12  B:14  C:18  D:11,B,How many flowers would be outside the red polygons if all polygons were red? Select the correct answer:A:4  B:1  C:7  D:6,D,abs_counting_1
